
Simplified 简体	Traditional 繁体	Pinyin 拼音	English 英文	Grammar 语法	Notes 注释
坚强	堅強	jiānqiáng	staunch / strong	Adjective 形容词	
健全		jiànquán	robust / strong	Adjective 形容词	
坚韧	堅韌	jiānrèn	tough and durable / tenacious	Adjective 形容词	
尖锐	尖銳	jiānruì	sharp / intense / penetrating / pointed	Adjective 形容词	
坚实	堅實	jiānshí	firm and substantial / solid	Adjective 形容词	
坚挺	堅挺	jiāntǐng	strong / rising / firm / stiff	Adjective 形容词	
简要	簡要	jiǎnyào	concise / brief	Adjective 形容词	
简易	簡易	jiǎnyì	simple / easy	Adjective 形容词	
简约	簡約	jiǎnyuē	concise / abbreviated / minimal	Adjective 形容词	
简直	簡直	jiǎnzhí	simply	Adverb 副词	
健壮	健壯	jiànzhuàng	robust / sturdy	Adjective 形容词	
洁	潔	jié	clean	Adjective 形容词	
孑		jié	alone / small	Adjective 形容词	
结实	結實	jiēshi	rugged / sturdy	Adjective 形容词	
极好	極好	jíhǎo	fabulous / superb	Adjective 形容词	
激烈		jīliè	intense / fierce / acute	Adjective 形容词	
静	靜	jìng	still / calm / quiet	Adjective 形容词	
净	淨	jìng	clean / pure	Adjective 形容词	
景		jǐng	bright	Adjective 形容词	
净	淨	jìng	no surplus	Adjective 形容词	
精良		jīng liáng	excellent/ high quality / superior	Adjective 形容词	
精彩		jīngcǎi	brilliant / splendid	Adjective 形容词	
精粹		jīngcuì	succinct / pure and concise	Adjective 形容词	
精华	精華	jīnghuá	best feature / quintessence / essence	Noun 名词	
精美		jīngměi	delicate / fine / refined	Adjective 形容词	
精明		jīngmíng	astute / skilled	Adjective 形容词	
精巧		jīngqiǎo	elaborate	Adjective 形容词	
精锐	精銳	jīngruì	elite	Adjective 形容词	
精神		jīngshén	vigorous	Adjective 形容词	
精细	精細	jīngxì	fine / delicate	Adjective 形容词	
精细	精細	jīngxì	perceptive / astute / meticulous / careful	Adjective 形容词	
精湛		jīngzhàn	consummate / exquisite	Adjective 形容词	
精致		jīngzhì	 delicate / fine / exquisite	Adjective 形容词	
及物		jíwù	transitive	Adjective 形容词	
集中		jízhōng	centralized / concentrated	Adjective 形容词	
具备	具備	jùbèi	to possess / to have / be equipped with / be able to fulfill	Verb 动词	
局部		júbù	part	Noun 名词	
绝	絕	jué	unique / outstanding	Adjective 形容词	
倔		jué	crabby / tough	Adjective 形容词	
倔强	倔強	juéjiàng	stubborn / obstinate	Adjective 形容词	
均匀	均勻	jūnyún	even / well-distributed / homogeneous	Adjective 形容词	
具体	具體	jùtǐ	concrete / definite / specific	Adjective 形容词	
苛		kē	severe / exacting	Adjective 形容词	
可怪		kěguài	strange / curious / surprising	Adjective 形容词	
可贵	可貴	kěguì	praiseworthy / valuable	Adjective 形容词	
可靠		kěkào	reliable	Adjective 形容词	
刻意		kèyì	meticulous / painstaking / scrupulous	Adjective 形容词	
孔多		kǒngduō	dense / many and dense	Adjective 形容词	
枯		kū	withered / dried up	Adjective 形容词	
宽广	寬廣	kuānguǎng	wide / broad / extensive / vast	Adjective 形容词	
宽阔	寬闊	kuānkuò	expansive / wide	Adjective 形容词	
宽裕	寬裕	kuānyù	comfortably off / ample / plenty	Adjective 形容词	
枯槁		kūgǎo	withered / haggard / languid	Adjective 形容词	
困	睏	kùn	to be sleepy / doze off	Verb 动词	
阔	闊	kuò	rich / wide / broad	Adjective 形容词	
烂	爛	làn	soft / mushy / well-cooked and soft / rotten / worn out / chaotic / messy / utterly / thoroughly	Adjective 形容词	
烂漫	爛漫	lànmàn	brightly colored / unaffected	Adjective 形容词	
络	絡	lào	net-like	Adjective 形容词	
牢		láo	firm	Adjective 形容词	
佬		lǎo	a man / a person / mature	Adjective 形容词	
牢固		láogù	firm / secure	Adjective 形容词	
累	纍	léi	cumbersome	Adjective 形容词	
磊		lěi	lumpy / uneven	Adjective 形容词	
冷静	冷靜	lěngjìng	calm / desolate	Adjective 形容词	
厉	厲	lì	severe	Adjective 形容词	
廉		lián	incorrupt / inexpensive	Adjective 形容词	
凉快	涼快	liángkuai	pleasantly cool	Adjective 形容词	
了	瞭	liǎo	clear	Adjective 形容词	
力度		lìdù	dynamism / vigor	Noun 名词	
烈		liè	ardent / intense	Adjective 形容词	
厉害	厲害	lìhai	ferocious / radical / serious / terrible / tremendous / violent / formidible	Adjective 形容词	
利害		lìhài	pros and cons / advantages and disadvantages	Noun 名词	
利害		lìhài	terrible / formidable / serious / devastating	Adjective 形容词	
灵活	靈活	línghuó	flexible / nimble / agile	Adjective 形容词	
玲珑	玲瓏	línglóng	exquisite / detailed and fine	Adjective 形容词	
流畅	流暢	liúchàng	fluent / flowing / smooth	Adjective 形容词	
例行		lìxíng	routine	Adjective 形容词	
利于	利於	lìyú	be beneficial / be good for	Adjective 形容词	
隆		lóng	grand / intense / prosperous	Adjective 形容词	
陋		lòu	low / humble / plain / ugly / mean / vulgar	Adjective 形容词	
碌		lù	laborious	Adjective 形容词	
乱	亂	luàn	disorderly / chaotic	Adjective 形容词	
略		lüè	brief / keen / sharp	Adjective 形容词	
络	絡	luò	net-like	Adjective 形容词	
落后	落後	luòhòu	backward	Adjective 形容词	
麻烦	麻煩	máfan	troublesome	Adjective 形容词	
忙		máng	busy	Adjective 形容词	
忙碌		mánglù	busy / bustling	Adjective 形容词	
忙乱	忙亂	mángluàn	rushed and muddled	Adjective 形容词	
茂		mào	luxuriant	Adjective 形容词	
毛病		máobìng	fault / defect / shortcomings	Noun 名词	
